Title	Director	Year	Nationality	Run Time	Watched	Views	Comment	
Rushmore	Wes Anderson	1999	USA	93	5/29/2009	1		104.6590909091
Bottle Rocket	Wes Anderson	1996	USA	91	5/30/2009	1		
Crimes and Misdemeanors	Woody Allen	1989	USA	104	6/1/2009	1		
Sweet Smell of Success	Alexander Mackendrick	1957	USA	96	6/1/2009	1		
Cassandra's Dream	Woody Allen	2007	USA	108	6/2/2009	1		
Deconstructing Harry	Woody Allen	1997	USA	98	6/3/2009	1		
Stranger Than Paradise	Jim Jarmusch	1984	USA	89	6/10/2009	1		
The Royal Tenenbaums	Wes Anderson	2001	USA	110	6/15/2009	1		
House of Games	David Mamet	1987	USA	102	6/18/2009	1		
The Spanish Prisoner	David Mamet	1998	USA	110	6/19/2009	1		
Before The Devil Knows You're Dead	Sidney Lumet	2007	USA	117	6/20/2009	1		
Interiors	Woody Allen	1978	USA	92	6/20/2009	1		
Frozen River	Courtney Hunt	2008	USA	97	6/21/2009	1		
Annie Hall	Woody Allen	1977	USA	94	6/30/2009	1		
L'Argent	Robert Bresson	1983	France	85	7/1/2009	1		
Shadows In Paradise	Aki Kaurismaki	1986	Finland	76	7/5/2009	1		
Moon	Duncan Jones	2009	USA	97	7/10/2009	1		
Pickpocket	Robert Bresson	1959	France	75	7/11/2009	1		
Scoop	Woody Allen	2006	USA	96	7/11/2009	1		
The Match Factory Girl	Aki Kaurismaki	1990	Finland	68	7/11/2009	1		
The Decalogue Ep. 1	Krzysztof Kieslowski	1989	Poland	60	7/14/2009	1		
The Nines	John August	2007	USA	100	7/15/2009	1		
The Purple Rose of Cairo	Woody Allen	1985	USA	88	7/15/2009	1		
The Hangover	Todd Phillips	2009	USA	100	7/18/2009	1		
Through a Glass Darkly	Ingmar Bergman	1961	Sweden	89	7/18/2009	1		
The Decalogue Ep. 2	Krzysztof Kieslowski	1989	Poland	60	7/19/2009	1		
Manhattan	Woody Allen	1979	USA	96	7/20/2009	1	56:00 You're a coward. -Only in actuality	
Mighty Aphrodite	Woody Allen	1995	USA	95	7/20/2009	1		
Lights In The Dusk	Aki Kaurismaki	2007	Finland	74	7/21/2009	1		
Winter Light	Ingmar Bergman	1962	Sweden	80	7/22/2009	1		
Open Water	Chris Kentis	2004	USA	81	7/23/2009	1		
Zelig	Woody Allen	1983	USA	79	7/24/2009	1		
Hannah and Her Sisters	Woody Allen	1986	USA	103	7/26/2009	1		
Bananas	Woody Allen	1971	USA	82	7/28/2009	1		
Melinda and Melinda	Woody Allen	2004	USA	95	7/31/2009	1		
My Dinner With Andre	Louis Malle	1982	USA	110	7/31/2009	2		
The End of Summer	Yasujiro Ozu	1961	Japan	103	8/1/2009	1		
A.I. Artificial Intelligence	Steven Spielberg	2001	USA	145	8/2/2009	1		
Fog of War	Errol Morris	2003	USA	95	8/3/2009	1		
The Girlfriend Experience	Steven Soderbergh	2009	USA	77	8/3/2009	1		
The Cable Guy	Ben Stiller	1996	USA	96	8/5/2009	1		
I Love You Man	John Hamburg	2009	USA	105	8/8/2009	1		
Husbands and Wives	Woody Allen	1992	USA	107	8/9/2009	1	Shaky cam, jump cuts, zooms	
Naked	Mike Leigh	1993	UK	131	8/10/2009	1		
The Brothers Bloom	Rian Johnson	2009	USA	113	8/12/2009	1		
The Darjeeling Limited	Wes Anderson	2007	USA	91	8/15/2009	1		
The Squid and the Whale	Noah Baumbach	2005	USA	81	8/15/2009	1		
The Seventh Seal	Ingmar Bergman	1957	Sweden	96	8/16/2009	1		
Celebrity	Woody Allen	1998	USA	113	8/18/2009	1	Black and white	
Mouchette	Robert Bresson	1967	France	78	8/18/2009	1		
Master and Commander: The Far Side of the World	Peter Weir	2003	USA	138	8/19/2009	2		
Vicky Christina Barcelona	Woody Allen	2008	USA	96	8/22/2009	1		
Broadway Danny Rose	Woody Allen	1984	USA	84	8/24/2009	1	Black and white	
Sleeper	Woody Allen	1973	USA	89	8/29/2009	1	50:00 "My father was black and my mother was white, and vice versa."	
Autumn Sonata	Ingmar Bergman	1978	Sweden	92	8/30/2009	1	I don't like zooms, even subtle ones	
Rachel Getting Married	Jonathan Demme	2008	USA	113	9/4/2009	1		
District 9	Neill Blomkamp	2009	USA	112	9/5/2009	1		
Sweet and Lowdown	Woody Allen	1999	USA	95	9/7/2009	1		
Close Encounters of the Third Kind	Steven Spielberg	1977	USA	132	9/8/2009	1		
Crank 2	Mark Neveldine, Brian Taylor	2009	USA	96	9/9/2009	1		
Cinderella Man	Ron Howard	2005	USA	144	9/13/2009	3		
Good Morning	Yasujiro Ozu	1959	Japan	94	9/13/2009	1		
Manhattan Murder Mystery	Woody Allen	1993	USA	109	9/17/2009	1		
Ju Dou	Zhang Yimou	1990	China	95	9/19/2009	1		
The Hurt Locker	Katherin Bigelow	2009	USA	130	9/19/2009	1		
United 93	Paul Greengrass	2006	USA	111	10/14/2009	1		
Whatever Works	Woody Allen	2009	USA	92	10/14/2009	1		
Harry Potter and the Philosopher's Stone	Chris Columbus	2001	USA	152	10/23/2009	1		
Harry Potter and the Chamber of Secrets	Chris Columbus	2002	USA	161	10/24/2009	1		
Harry Potter and the Prisoner of Azkaban	Alfonso Cuarón	2004	USA	141	10/25/2009	1		
Harry Potter and the Goblet of Fire	Mike Newell	2005	USA	157	10/26/2009	1		
Harry Potter and the Order of the Phoenix	David Yates	2007	USA	138	10/27/2009	1		
Harry Potter and the Half-Blood Prince	David Yates	2009	USA	153	10/28/2009	1		
Drag Me to Hell	Sam Raimi	2009	USA	98	10/30/2009			
Funny People	Judd Apatow	2009	USA	150	11/16/2009	1		
(500) Days of Summer	Marc Webb	2009	USA	95	11/25/2009	1		
Extract	Mike Judge	2009	USA	92	12/5/2009	1		
Leon	Luc Besson	1994	France	110	12/5/2009	1		
